City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Nikolskoye,RU,2021-01-24 22:34:22,59.7035,30.7861,35.6,87,90,11.18
132,Russell,US,2021-01-24 22:35:56,32.3502,-85.1999,60.8,63,90,9.22
133,Carnarvon,AU,2021-01-24 22:34:35,-24.8667,113.6333,73.4,68,40,13.8
134,Gigmoto,PH,2021-01-24 22:34:55,13.7796,124.39,78.57,84,20,5.19
135,Cortez,US,2021-01-24 22:36:25,37.3489,-108.5859,39.2,70,20,6.91
136,Larvik,NO,2021-01-24 22:31:41,59.0533,10.0352,30.99,86,90,8.05
137,Thompson,CA,2021-01-24 22:34:44,55.7435,-97.8558,-9.4,77,75,11.5
138,Seoul,KR,2021-01-24 22:33:54,37.5683,126.9778,32.0,93,80,2.3
139,Lebu,CL,2021-01-24 22:34:38,-37.6167,-73.65,57.99,70,0,18.92
140,Grindavik,IS,2021-01-24 22:36:26,63.8424,-22.4338,28.4,69,0,19.57
141,Chokurdakh,RU,2021-01-24 22:34:45,70.6333,147.9167,-31.23,82,100,11.92
142,Vao,NC,2021-01-24 22:34:37,-22.6667,167.4833,76.01,77,98,24.92
143,Gumla,IN,2021-01-24 22:36:27,23.05,84.55,56.28,42,0,3.8
144,Port Hardy,CA,2021-01-24 22:30:00,50.6996,-127.4199,41.0,93,75,4.61
145,Svetlaya,RU,2021-01-24 22:35:18,46.5389,138.3297,14.88,85,7,7.52
146,Hervey Bay,AU,2021-01-24 22:35:29,-25.2986,152.8535,84.99,65,40,11.5
147,Airai,TL,2021-01-24 22:34:27,-8.9266,125.4092,63.81,100,98,1.12
148,Manokwari,ID,2021-01-24 22:36:27,-0.8667,134.0833,80.92,73,100,4.56
149,Luderitz,NA,2021-01-24 22:35:11,-26.6481,15.1594,67.84,57,95,24.49
150,Krasnoye,UA,2021-01-24 22:36:28,49.9145,24.6134,33.8,100,90,4.47
151,Saint George,US,2021-01-24 22:34:17,37.1041,-113.5841,53.01,43,1,5.75
152,Phalaborwa,ZA,2021-01-24 22:32:59,-23.943,31.1411,73.4,100,100,9.22
