City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
99,Dukat,RU,62.55,155.55,-38.76,80,89,4.54,overcast clouds,2021-01-24 23:39:08
100,Butaritari,KI,3.0707,172.7902,79.21,76,52,10.51,broken clouds,2021-01-24 23:39:08
101,Veraval,IN,20.9,70.3667,65.5,27,0,12.59,clear sky,2021-01-24 23:36:26
102,La Ronge,CA,55.1001,-105.2842,-20.2,76,24,1.14,few clouds,2021-01-24 23:39:08
103,Upata,VE,8.0086,-62.3989,80.01,80,99,4.0,overcast clouds,2021-01-24 23:35:08
104,Tommot,RU,58.9564,126.2925,-40.02,75,1,0.83,clear sky,2021-01-24 23:39:08
105,Husavik,IS,66.0449,-17.3389,23.0,93,90,2.3,light snow,2021-01-24 23:39:08
106,Saint George,US,37.1041,-113.5841,53.01,43,1,4.61,clear sky,2021-01-24 23:34:47
107,Mitsamiouli,KM,-11.3847,43.2844,80.92,72,85,6.78,overcast clouds,2021-01-24 23:39:09
108,Ribeira Grande,PT,38.5167,-28.7,64.08,91,91,26.31,overcast clouds,2021-01-24 23:39:09
109,Faanui,PF,-16.4833,-151.75,81.86,71,0,12.35,clear sky,2021-01-24 23:39:09
110,Dikson,RU,73.5069,80.5464,-15.41,89,100,12.17,overcast clouds,2021-01-24 23:39:09
111,Airai,TL,-8.9266,125.4092,64.89,100,98,1.97,overcast clouds,2021-01-24 23:39:09
112,Ketchikan,US,55.3422,-131.6461,37.4,93,75,4.61,broken clouds,2021-01-24 23:35:18
113,Umm Kaddadah,SD,13.6017,26.6876,67.21,25,11,15.95,few clouds,2021-01-24 23:39:09
114,Kaitangata,NZ,-46.2817,169.8464,64.99,63,100,14.0,overcast clouds,2021-01-24 23:39:10
115,Derzhavinsk,KZ,51.1,66.3167,8.98,94,100,19.13,light snow,2021-01-24 23:39:10
116,Seymchan,RU,62.8833,152.4333,-30.24,81,100,1.01,overcast clouds,2021-01-24 23:39:10
117,Vila Velha,BR,-20.3297,-40.2925,77.0,78,20,3.44,few clouds,2021-01-24 23:39:10
118,Camana,PE,-16.6228,-72.7111,71.58,73,74,5.03,broken clouds,2021-01-24 23:39:10
119,Isangel,VU,-19.55,169.2667,78.8,89,90,14.88,moderate rain,2021-01-24 23:36:59
120,Mahebourg,MU,-20.4081,57.7,77.0,88,40,3.44,moderate rain,2021-01-24 23:39:10
121,Longyearbyen,SJ,78.2186,15.6401,15.8,62,0,14.97,clear sky,2021-01-24 23:39:11
122,Nuuk,GL,64.1835,-51.7216,19.4,68,20,11.5,few clouds,2021-01-24 23:39:11
123,Port Augusta,AU,-32.5,137.7667,91.0,31,95,13.8,overcast clouds,2021-01-24 23:39:11
124,Cabo San Lucas,MX,22.8909,-109.9124,70.0,52,1,9.22,clear sky,2021-01-24 23:35:43
125,Bonthe,SL,7.5264,-12.505,76.57,82,0,6.6,clear sky,2021-01-24 23:39:11
126,Uncia,BO,-18.467,-66.5685,50.94,68,95,6.58,overcast clouds,2021-01-24 23:39:11
127,Vila Do Maio,CV,15.1333,-23.2167,69.8,83,0,17.27,clear sky,2021-01-24 23:39:12
128,Bathsheba,BB,13.2167,-59.5167,78.8,73,40,16.11,scattered clouds,2021-01-24 23:36:47
129,Adrar,MR,20.5022,-10.0711,65.93,20,95,8.39,overcast clouds,2021-01-24 23:39:12
130,Tuatapere,NZ,-46.1333,167.6833,60.01,84,91,21.0,overcast clouds,2021-01-24 23:36:39
131,Nikolskoye,RU,59.7035,30.7861,34.0,93,75,11.18,light rain,2021-01-24 23:39:12
132,Lagoa,PT,39.05,-27.9833,62.28,94,98,18.3,overcast clouds,2021-01-24 23:39:12
133,Bengkulu,ID,-3.8004,102.2655,77.7,79,95,4.21,overcast clouds,2021-01-24 23:39:12
134,Vaini,TO,-21.2,-175.2,82.4,78,75,8.05,light rain,2021-01-24 23:39:13
135,Luderitz,NA,-26.6481,15.1594,67.64,59,99,25.39,overcast clouds,2021-01-24 23:39:13
136,Klaksvik,FO,62.2266,-6.589,33.8,86,20,23.02,light snow,2021-01-24 23:39:13
137,Coquimbo,CL,-29.9533,-71.3436,68.0,68,20,11.5,few clouds,2021-01-24 23:37:17
138,Urcos,PE,-13.6861,-71.6228,53.6,82,75,4.61,light intensity drizzle,2021-01-24 23:39:13
139,Abu Zabad,SD,12.35,29.25,68.56,24,28,13.78,scattered clouds,2021-01-24 23:39:14
140,Esperance,AU,-33.8667,121.9,66.2,82,40,11.5,scattered clouds,2021-01-24 23:39:14
141,Mackay,AU,-21.15,149.2,82.0,74,14,13.8,few clouds,2021-01-24 23:39:14
142,Belmonte,BR,-15.8631,-38.8828,77.0,78,0,4.61,light rain,2021-01-24 23:36:54
